Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
oli068_2,29-Sep-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,301,2098,0.808641975308642,1,0.75,1,0.875,1,1,1,0.777777777777778,0.777777777777778,1,0.875,0.875,0.875,0.7,0.857142857142857,0.666666666666667,0.428571428571429,0.75,0.75,0.75
oli069_2,05-Oct-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,307,2104,0.718592964824121,0.875,0.777777777777778,0.636363636363636,0.777777777777778,1,1,1,1,1,1,0.777777777777778,0.875,0.875,0.8,0.777777777777778,0.318181818181818,0.636363636363636,0.4375,0.5,0.636363636363636
oli070_2,06-Oct-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,308,2105,0.825641025641026,0.571428571428571,0.666666666666667,0.727272727272727,0.615384615384615,1,0.727272727272727,0.75,0.888888888888889,0.888888888888889,0.727272727272727,1,0.888888888888889,1,0.888888888888889,1,1,1,1,0.727272727272727,1
oli071_2,07-Oct-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,309,2106,0.888888888888889,0.666666666666667,0.888888888888889,0.727272727272727,0.888888888888889,0.888888888888889,1,1,0.888888888888889,0.8,0.727272727272727,1,0.8,1,1,1,1,1,0.888888888888889,0.888888888888889,1
oli072_2,12-Oct-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,314,2111,0.538461538461538,0.216216216216216,0.222222222222222,0.275862068965517,0.25,0.296296296296296,1,0.8,0.642857142857143,0.666666666666667,0.727272727272727,0.888888888888889,1,1,1,1,1,1,0.888888888888889,1,0.888888888888889
oli073_2,13-Oct-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,315,2112,0.858369098712446,0.833333333333333,1,1,1,1,0.833333333333333,0.769230769230769,0.625,0.666666666666667,0.476190476190476,1,1,1,0.909090909090909,0.909090909090909,1,0.909090909090909,1,0.909090909090909,1
oli074_2,14-Oct-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,316,2113,0.962566844919786,1,1,1,1,0.9,1,0.9,0.9,1,1,1,1,1,1,1,0.9,0.9,0.9,1,0.9
oli075_2,15-Oct-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,317,2114,0.932642487046632,1,1,1,1,1,1,0.75,0.9,0.75,0.75,1,1,1,0.9,0.9,0.9,1,1,1,1
oli076_2,19-Oct-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,321,2118,0.736842105263158,0.636363636363636,1,1,0.875,1,0.875,0.388888888888889,0.5,0.411764705882353,0.583333333333333,0.875,1,0.636363636363636,1,0.7,0.875,1,0.875,0.875,1
oli077_2,20-Oct-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,322,2119,0.915032679738562,1,1,0.7,0.777777777777778,1,1,1,1,0.875,0.875,1,1,1,0.875,0.875,0.875,0.875,1,1,0.777777777777778
