Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli057_1,06-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,155,1952,0.927536231884058,1,0.888888888888889,0.727272727272727,1,1,1,0.888888888888889,1,OLI,4,4,5.0958904109589,64.1753424657534
oli058_1,07-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,156,1953,0.927536231884058,1,1,0.666666666666667,1,0.888888888888889,1,1,1,OLI,4,4,5.12876712328767,64.2082191780822
oli059_1,11-May-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,160,1957,0.822784810126582,0.888888888888889,0.888888888888889,1,0.9,0.888888888888889,0.888888888888889,0.571428571428571,0.727272727272727,OLI,4,4,5.26027397260274,64.3397260273973
oli060_1,12-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,161,1958,0.984848484848485,1,0.888888888888889,1,1,1,1,1,1,OLI,4,4,5.29315068493151,64.372602739726
oli061_1,13-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,162,1959,1,1,1,1,1,1,1,1,1,OLI,4,4,5.32602739726027,64.4054794520548
oli062_1,14-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,163,1960,0.986301369863014,1,1,0.9,1,1,1,1,1,OLI,4,4,5.35890410958904,64.4383561643836
oli063_1,18-May-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,167,1964,0.655737704918033,0.714285714285714,0.833333333333333,0.357142857142857,0.714285714285714,1,0.833333333333333,0.555555555555556,0.714285714285714,OLI,4,4,5.49041095890411,64.5698630136986
oli064_1,19-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,168,1965,0.982456140350877,1,0.875,1,1,1,1,1,1,OLI,4,4,5.52328767123288,64.6027397260274
oli065_1,20-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,169,1966,0.927272727272727,0.857142857142857,1,0.875,1,1,1,0.75,1,OLI,4,4,5.55616438356164,64.6356164383562
oli066_1,21-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,170,1967,1,1,1,1,1,1,1,1,1,OLI,4,4,5.58904109589041,64.6684931506849
oli067_1,28-Sep-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,300,2097,0.534653465346535,0.7,0.388888888888889,0.428571428571429,0.875,0.7,1,0.304347826086957,0.545454545454545,OLI,4,4,9.86301369863014,68.9424657534247
oli068_1,29-Sep-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,301,2098,0.617977528089888,0.7,0.875,1,1,1,0.7,0.35,0.3,OLI,4,4,9.89589041095891,68.9753424657534
