ID,Task,mature,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
PIC,ODRdistractor_diagonal,-24.73333333,53.9,0.760204082,0.888888889,1,1,1,1,0.8,0.444444444,0.32,1,1,0.7,1,0.875,0.7,0.777777778,0.7,0.8,1,0.7,1
PIC,ODRdistractor_diagonal,-24.6,54.03333333,0.785407725,0.9,0.9,1,1,0.9,1,1,1,1,0.909090909,0.818181818,0.642857143,0.310344828,0.642857143,0.529411765,0.818181818,0.909090909,0.9,0.9,0.9
PIC,ODRdistractor_cardinal,-24.56666667,54.06666667,0.888888889,0.909090909,1,0.833333333,0.909090909,0.909090909,1,1,1,1,1,0.909090909,1,0.909090909,0.909090909,0.909090909,0.769230769,0.833333333,0.714285714,0.625,0.909090909
PIC,ODRdistractor_diagonal,-24.53333333,54.1,0.826666667,1,1,1,1,1,1,0.818181818,0.714285714,1,1,0.625,0.75,0.5625,0.642857143,0.642857143,1,0.769230769,1,0.9,0.75
PIC,ODRdistractor_cardinal,-24.5,54.13333333,0.779816514,0.666666667,0.818181818,0.8,0.75,0.75,1,0.8,0.727272727,0.818181818,0.9,0.9,0.615384615,0.6,0.533333333,0.8,0.9,0.8,1,0.9,0.888888889
PIC,ODRdistractor_cardinal,-24.36666667,54.26666667,0.947368421,0.9,0.9,0.692307692,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.818181818,1,1,0.9
PIC,ODRdistractor_diagonal,-24.33333333,54.3,0.87804878,0.9,1,0.9,0.818181818,0.9,0.75,0.6,0.6,1,1,1,1,1,0.9,1,0.9,0.9,0.818181818,1,1
PIC,ODRdistractor_cardinal,-24.3,54.33333333,0.925714286,1,1,0.666666667,0.888888889,0.727272727,1,1,1,1,1,1,0.888888889,0.888888889,1,1,1,1,0.888888889,0.9,0.888888889
PIC,ODRdistractor_diagonal,-24.26666667,54.36666667,0.905405405,0.833333333,0.833333333,0.909090909,0.785714286,0.909090909,1,0.833333333,1,1,1,1,0.909090909,1,0.909090909,1,0.909090909,1,0.833333333,0.714285714,0.909090909
PIC,ODRdistractor_cardinal,-20.6,58.03333333,0.927835052,1,1,1,1,0.818181818,0.9,1,1,0.9,0.9,0.9,1,1,1,0.9,0.9,0.818181818,0.818181818,0.818181818,1
PIC,ODRdistractor_diagonal,-20.56666667,58.06666667,0.95631068,1,1,1,1,0.909090909,1,0.909090909,1,1,1,1,0.909090909,1,0.909090909,1,0.909090909,0.909090909,0.9,0.909090909,0.909090909
PIC,ODRdistractor_diagonal,-20.4,58.23333333,0.970588235,0.909090909,1,0.909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.909090909
PIC,ODRdistractor_cardinal,-20.36666667,58.26666667,0.975409836,1,1,0.857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1
PIC,ODRdistractor_cardinal,-20.33333333,58.3,0.901345291,1,1,1,0.833333333,0.909090909,0.833333333,0.909090909,0.769230769,1,0.714285714,1,0.833333333,1,1,1,1,0.833333333,0.769230769,0.916666667,0.909090909
PIC,ODRdistractor_cardinal,-20.13333333,58.5,0.860215054,0.727272727,0.666666667,0.571428571,0.727272727,0.8,1,0.888888889,0.8,1,0.888888889,1,1,1,1,0.888888889,1,1,1,1,0.727272727
PIC,ODRdistractor_cardinal,-19.93333333,58.7,0.862068966,1,1,0.833333333,1,1,0.833333333,0.833333333,0.714285714,0.625,1,1,0.833333333,0.714285714,0.833333333,1,1,1,0.714285714,0.714285714,1
PIC,ODRdistractor_cardinal,-19.9,58.73333333,0.720720721,0.888888889,0.666666667,0.888888889,1,0.8,1,1,1,1,1,0.5,0.444444444,0.5,0.533333333,0.727272727,0.8,0.533333333,0.571428571,0.8,0.888888889
PIC,ODRdistractor_diagonal,-19.86666667,58.76666667,0.845070423,0.857142857,1,0.857142857,1,0.857142857,0.75,0.666666667,0.857142857,0.75,1,1,1,1,1,1,0.75,0.6,1,0.6,0.857142857
PIC,ODRdistractor_diagonal,-19.7,58.93333333,0.883116883,0.909090909,0.833333333,0.833333333,1,1,0.833333333,0.909090909,0.909090909,1,1,1,0.909090909,0.909090909,1,1,0.625,0.733333333,0.909090909,0.769230769,0.833333333
PIC,ODRdistractor_cardinal,-19.66666667,58.96666667,0.693965517,0.727272727,0.571428571,0.533333333,0.666666667,0.615384615,1,1,1,1,1,0.571428571,0.571428571,0.727272727,0.533333333,0.727272727,0.8,0.529411765,0.421052632,1,1
PIC,ODRdistractor_cardinal,-19.63333333,59,0.829896907,0.666666667,0.5,0.8,0.8,0.888888889,0.888888889,0.666666667,1,0.8,1,0.8,0.888888889,1,1,1,1,0.8,0.8,0.888888889,1
PIC,ODRdistractor_cardinal,-19.6,59.03333333,0.970873786,1,0.833333333,1,1,0.833333333,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1
