ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra,lateral_and_ventral_pallium_contra,medial_pallium_contra,amygdala_contra,basal_ganglia_contra,diagonal_subpallium_contra,preoptic_complex_contra,hypothalamus_contra,prethalamus_contra,thalamus_contra,epithalamus_contra,pretectum_contra,midbrain_contra,pons_contra,cerebellum_contra,medulla_contra
TRI,4,-9.3,41.2,F,L,652,1352.125,1657.5,2608,1327,974.25,1145.125,776.5,371.25,225.125,1881.75,870.375,558.5,452.375,110.125,3053.875,2185.75,352.25,665.75,277.5,2406.625,160.75,139.875,170.375,33.5,1003.625,14.375,27.5,625.125,701.375,3550.5,586.5
TRI,5,-6.1,44.4,F,L,648,1435.375,1763,2526.875,1313.625,924.25,1154.375,736.5,350.625,246.125,1855.75,897.5,568.25,461.75,103.75,3056.25,2226.875,356.125,678,261.875,2377.5,152.5,136,174,36.625,994.25,16.25,25.25,602.375,697.75,3487.25,545.5
TRI,6,-3.2,47.3,F,L,695.875,1251.75,1674.75,2760.25,1357,958.5,1170.75,818.875,343.25,282.125,1834.5,844.875,561.25,449.375,111.75,3104.5,2266.875,359.75,687.75,262.5,2429.75,166.25,140.625,166,35.75,1047.75,15.5,28.375,631.375,715.375,3604.5,566
TRI,7,0.2,50.7,F,L,676.5,1275.75,1617.625,2680,1317.25,964,1160.75,797.75,364.375,267.625,1846,876.125,590.25,455,111.5,3101.625,2151.5,372.5,717.75,306.125,2428.5,190,159.125,179.875,36.75,1033.25,13.875,24.625,638.75,702.25,3527.625,567.5
TRI,8,3.2,53.7,F,L,703.5,1295.5,1628.875,2733,1364.75,991.75,1175.75,810.625,387.75,254.875,1858.5,867,572.5,461.375,109.75,3155.25,2290.875,364.75,711.75,299.75,2412,178.375,150.25,178.625,34.75,1055.25,17.5,24.875,645.25,714.875,3628.375,591.75
TRI,9,7.2,57.7,F,L,689.375,1479,1706,2850.875,1435,994.375,1210,799.125,354.375,297.125,1997.875,959.875,599.625,466.5,117,3239.5,2268.125,383,704.875,280.25,2473.625,168.5,141.25,180,34.75,1073.75,15.125,27.625,660.375,767.625,3679.5,595.875
TRI,10,9.3,59.8,F,L,701.625,1364.5,1716.5,2914.875,1474.25,1024.5,1236.875,836.5,367.75,291.125,1946.375,939.5,602.125,456.375,115.625,3203.5,2321.625,390.75,712.625,302,2476.75,194.125,157.25,186,37.75,1086.125,17,28.25,651.375,742.875,3682.5,607.25
TRI,11,12.7,63.2,F,L,664.375,1272.125,1609.375,2673.125,1321.625,954.5,1159.25,793.25,353,242.875,1786.5,861.5,570.375,456.875,112.75,3083.5,2220.125,363,716.25,298.5,2380.875,198.75,159.25,176.25,31.75,1037.75,16.375,29,638.5,755.25,3596.75,614
UNI,1,-13.1,32.1,F,R,557.625,1164.25,1542.875,2274,1046.625,763.625,1008.375,566.625,341.75,252,1655.5,717.75,419.375,313.875,106.875,2670.5,1875.375,267.5,517.25,234,2109,144,134,147.125,27.5,805.375,12.25,24.625,485.375,587.875,2909.625,452.125
UNI,2,-9.2,36,F,R,548.25,1188.5,1583.5,2340.375,1050.625,752.625,998.875,552,270.125,232.875,1555.5,692.5,428.625,291.25,99.5,2676.875,1843.875,266.875,502.125,250,2130.875,159.125,141.5,160.875,27.375,830.125,14.875,24.125,499.5,614.5,2935.25,486.625
UNI,3,-5.6,39.6,F,R,562.875,1080,1564.125,2379.25,1078,750.375,995.25,578.875,243.875,202.625,1601.625,680.25,430.625,302.75,102.5,2663.875,1854.5,261.625,516.125,217.125,2147.5,165.875,156.75,170.875,32.375,863,13.875,24.625,506.375,576.625,2883.25,411
UNI,4,-2.8,42.4,F,R,570.625,1181.375,1641.125,2386.5,1094.25,731.25,986,572.875,313,240.875,1681.125,701.5,410.75,317.875,99.625,2693.375,1921,276.75,532.5,229.75,2174.875,154.75,144.25,159.125,30.75,850.25,15.875,21.625,523.875,628.25,3029.625,477.125
UNI,5,0.4,45.6,F,R,558.125,1243.75,1694.375,2484.5,1111.375,762.5,1009.625,550.25,312.875,261,1597.25,687.625,431.25,330.25,94.5,2604.875,1800.375,267.75,534.375,240.75,2159.875,150.75,156.5,152.25,31.625,858.875,14,19.5,507.875,591.75,2875.75,430.625
UNI,6,3.5,48.7,F,R,576.625,1145.375,1573.25,2374.125,1138.25,754.875,1018.625,568.125,314.625,232,1655.625,679.375,442.625,305,95.375,2653.625,1908.375,268.375,541.125,251.875,2195.375,163.375,150.125,156,29,855.625,13.5,21.875,511.25,635.625,3017.25,513.5
UNI,7,6.7,51.9,F,R,562.125,1208.375,1508.125,2254.25,1057,744.5,982.75,552,326.25,248.625,1607.75,665,409,312.875,97.5,2681.25,1905.375,275.375,560.75,250.5,2181.375,155.125,152.5,165.25,32.25,867.5,13.25,19.375,534.875,615.5,3045.875,485.25
UNI,8,9.7,54.9,F,R,562.875,1111.875,1611.875,2404.5,1116.125,753.375,1049.125,573.375,296,256.75,1606.5,704,431,321,97.625,2698.25,1900.75,277.5,550.25,257,2153.875,156.375,155.625,162.5,33,847,14.375,23.125,527.25,621.625,2961,509.375
UNI,9,13.7,58.9,F,R,584,1238.875,1722.5,2523.875,1158.625,785.625,1050.25,570.75,332.25,297.125,1690.25,714.375,462.625,304.125,107.375,2763,1888.125,285.625,563,269.625,2251.75,180.75,154.625,188,34.625,878.75,14.25,24.375,546.625,677.625,3059.625,557.25
UNI,10,15.9,61.1,F,R,563.5,1176.875,1553.375,2366.625,1098.625,748.75,1020,566.875,354.125,261.125,1664.75,697.5,430.25,304.125,98.75,2704.375,1930.75,270.25,537.875,272.25,2213,176.125,159.125,194.625,33.75,843.25,14.375,21.5,551.375,681.75,3044.5,504
UNI,11,19.2,64.4,F,R,563.75,1117.625,1450.5,2310,1078.75,714.125,959.375,558.875,337.25,226.5,1544.875,646.875,400.375,299.125,92.875,2621.5,1853.25,281.25,541.125,237.375,2112,175.875,146,176.375,34.25,852.875,11.25,24.375,508.25,643.875,2974,539.125
VIK,1,-19.7,36.2,M,R,594.75,1498.25,1889,2459.125,1158.625,830.5,1109.375,712.125,346,312.375,1927.125,835.5,497,338.5,97.875,2851.125,2016.25,309.25,556.875,279.5,2209.125,174.625,169.5,152.75,30.125,884.75,18,27.125,534.25,694.875,3363.125,568
VIK,2,-15.7,40.1,M,R,604.875,1458,1956.75,2603.25,1140.75,809.75,1078,698.5,226.625,200.125,1562.875,739.5,466.625,336.125,100.125,2899.625,1935,240.5,465.625,172.625,2223.875,174.625,155.125,163.125,32,900.375,12.125,24,541.625,639.75,2824.5,538.625
VIK,3,-12.2,43.6,M,R,616.375,1317,1898.125,2508.125,1166.25,842.75,1073.375,711.75,241.25,203.5,1557.125,736.375,489.125,328.25,101.25,2861.75,1866.125,235.75,496,174.25,2175,176.125,150,161.375,34.125,898.5,13.25,26.5,553.5,704.5,3131.375,562.375
VIK,4,-9.4,46.5,M,R,598.625,1491.25,1905.875,2465.375,1130.625,802.375,1031.625,690.5,330.25,298.875,1841.125,791.125,490.875,329.125,94.125,2815,1936.125,283.5,541.375,253.25,2228.125,175.75,140.375,163.125,32.75,876.5,14.375,27,553.125,729,3318.625,572.75
VIK,5,-6.1,49.7,M,R,613,1498.25,1934.875,2471.5,1120.625,791,1030.125,695.5,294,221.375,1687.5,753.875,474.25,326.125,96.5,2785.875,1933.875,275.875,539.875,244.875,2213.875,174.125,153.875,180.125,31,897.25,13,24.875,566.375,717.875,3290.25,577.375
VIK,6,-3.1,52.7,M,R,613.375,1459,1991.125,2685.75,1161.625,847.5,1099.5,701,325.5,291.125,1763.75,800.5,498.25,347.75,100.5,2931.75,1981.625,300.5,528.25,254.875,2285.125,187.125,169.75,184,32.75,911.875,12.625,25.875,577.375,755.875,3401.875,628.25
VIK,7,0.1,56,M,R,626.25,1358.5,1867.25,2578.75,1175,859.625,1102.625,703,333.5,276.25,1772.75,791.125,484.875,341.375,107.75,2942.5,2014.375,288.25,568,258.25,2273.375,178.375,165.5,175.75,33.5,935.875,13,30.75,572.5,753.125,3517.25,591.5
