mature,eff_dim,ID
41.0112328767123,13.5172253975139,All
41.9043835616438,16.8520335372989,All
40.4961643835616,15.4580548117421,All
40.8457534246575,15.7705261887134,All
40.8271232876712,16.3179064276594,All
40.007397260274,16.6641071288732,All
40.6484931506849,14.8329758877336,All
41.0539726027397,16.8903382645342,All
41.1328767123288,14.8489780155242,All
40.6978082191781,13.9165961507174,All
41.421095890411,17.2831438508713,All
41.4758904109589,15.4378460558139,All
40.9049315068493,16.0308410861204,All
40.8139726027397,14.0382175741407,All
41.3575342465753,14.4196431395632,All
39.8528767123288,15.3131261668544,All
41.2709589041096,15.3052479735439,All
40.7756164383562,13.8213238237422,All
41.5021917808219,16.4381868242597,All
40.7920547945205,15.9842483766907,All
40.7558904109589,16.3500643530011,All
41.1821917808219,15.4882372253967,All
40.3515068493151,13.7445040921446,All
40.7241095890411,14.9886860258648,All
41.3071232876712,15.2119380563225,All
40.8687671232877,15.9439440457326,All
40.806301369863,15.4393912187518,All
41.9569863013699,15.1761685693373,All
41.8495890410959,14.9627916637502,All
41.0178082191781,15.7254472100772,All
41.2676712328767,14.8749977959848,All
40.9717808219178,14.6512759584669,All
41.152602739726,14.838638686327,All
40.2221917808219,13.8521839079839,All
40.7131506849315,14.4232824324902,All
40.2572602739726,14.7332647137637,All
41.0342465753425,15.6838649089183,All
41.1558904109589,14.1646654363305,All
40.566301369863,14.9763007885869,All
41.713698630137,15.1853217576408,All
40.7241095890411,14.7343184698752,All
39.6249315068493,15.9420279464719,All
41.4934246575342,16.4242839275783,All
39.6983561643836,13.1221845025336,All
41.7849315068493,16.6362296907703,All
40.9882191780822,15.019481661319,All
41.0167123287671,16.3038533464061,All
41.9175342465753,15.779887485218,All
41.5931506849315,15.6778400318489,All
40.9805479452055,14.8993731043781,All
41.4002739726027,15.6214469344134,All
42.1323287671233,17.4181795317381,All
40.9761643835616,15.8819837308335,All
42.0786301369863,14.5532319851694,All
41.2249315068493,15.2425413814878,All
40.9147945205479,14.4776146825813,All
41.3575342465753,14.5701983565916,All
41.552602739726,16.0093519501026,All
41.0671232876712,15.0636892780336,All
41.1778082191781,15.3000415838145,All
41.3772602739726,16.4976818498855,All
41.3728767123288,14.783571054305,All
40.9739726027397,15.0093669481188,All
41.0616438356164,15.1891930736305,All
41.5460273972603,14.4257133148082,All
41.1767123287671,13.3432337021809,All
41.5350684931507,15.1013614361374,All
41.1438356164384,15.3822173896302,All
42.2561643835616,16.4340475062626,All
40.9915068493151,15.5241969444166,All
40.0731506849315,16.3084040034806,All
40.806301369863,15.2013688708554,All
41.0956164383562,14.5051862412245,All
40.9487671232877,15.3431609084828,All
42.4994520547945,14.7711517365468,All
41.9076712328767,16.7217535909159,All
40.9838356164384,13.9224432765988,All
40.1487671232877,15.5318756272853,All
41.3323287671233,15.9513893658953,All
41.0035616438356,16.7017521787333,All
41.4539726027397,15.3933644561977,All
40.938904109589,14.2515624958408,All
41.2643835616438,15.7283673164979,All
41.1460273972603,15.2446455919121,All
41.6994520547945,15.1700740797923,All
