predictor,fit,model_name
-25.10585305,0.159772318,anterior cingulum
-24.62266501,0.159840547,anterior cingulum
-24.13947696,0.159908777,anterior cingulum
-23.65628892,0.159977006,anterior cingulum
-23.17310087,0.160045235,anterior cingulum
-22.68991283,0.160113465,anterior cingulum
-22.20672478,0.160181694,anterior cingulum
-21.72353674,0.160249924,anterior cingulum
-21.24034869,0.160318153,anterior cingulum
-20.75716065,0.160386382,anterior cingulum
-20.2739726,0.160454612,anterior cingulum
-19.79078456,0.160522841,anterior cingulum
-19.30759651,0.16059107,anterior cingulum
-18.82440847,0.1606593,anterior cingulum
-18.34122042,0.160727529,anterior cingulum
-17.85803238,0.160795758,anterior cingulum
-17.37484433,0.160863988,anterior cingulum
-16.89165629,0.160932217,anterior cingulum
-16.40846824,0.161000447,anterior cingulum
-15.9252802,0.161068676,anterior cingulum
-15.44209215,0.161136905,anterior cingulum
-14.95890411,0.161205135,anterior cingulum
-14.47571607,0.161273364,anterior cingulum
-13.99252802,0.161341593,anterior cingulum
-13.50933998,0.161409823,anterior cingulum
-13.02615193,0.161478052,anterior cingulum
-12.54296389,0.161546281,anterior cingulum
-12.05977584,0.161614511,anterior cingulum
-11.5765878,0.16168274,anterior cingulum
-11.09339975,0.161750969,anterior cingulum
-10.61021171,0.161819199,anterior cingulum
-10.12702366,0.161887428,anterior cingulum
-9.643835617,0.161955658,anterior cingulum
-9.160647572,0.162023887,anterior cingulum
-8.677459527,0.162092116,anterior cingulum
-8.194271482,0.162160346,anterior cingulum
-7.711083437,0.162228575,anterior cingulum
-7.227895392,0.162296804,anterior cingulum
-6.744707348,0.162365034,anterior cingulum
-6.261519303,0.162433263,anterior cingulum
-5.778331258,0.162501492,anterior cingulum
-5.295143213,0.162569722,anterior cingulum
-4.811955168,0.162637951,anterior cingulum
-4.328767123,0.16270618,anterior cingulum
-3.845579078,0.16277441,anterior cingulum
-3.362391034,0.162842639,anterior cingulum
-2.879202989,0.162910869,anterior cingulum
-2.396014944,0.162979098,anterior cingulum
-1.912826899,0.163047327,anterior cingulum
-1.429638854,0.163115557,anterior cingulum
-0.946450809,0.163183786,anterior cingulum
-0.463262765,0.163252015,anterior cingulum
0.01992528,0.163320245,anterior cingulum
0.503113325,0.163388474,anterior cingulum
0.98630137,0.163456703,anterior cingulum
1.469489415,0.163524933,anterior cingulum
1.95267746,0.163593162,anterior cingulum
2.435865505,0.163661391,anterior cingulum
2.919053549,0.163729621,anterior cingulum
3.402241594,0.16379785,anterior cingulum
3.885429639,0.163866079,anterior cingulum
4.368617684,0.163934309,anterior cingulum
4.851805729,0.164002538,anterior cingulum
5.334993774,0.164070768,anterior cingulum
5.818181818,0.164138997,anterior cingulum
6.301369863,0.164207226,anterior cingulum
6.784557908,0.164275456,anterior cingulum
7.267745953,0.164343685,anterior cingulum
7.750933998,0.164411914,anterior cingulum
8.234122043,0.164480144,anterior cingulum
8.717310088,0.164548373,anterior cingulum
9.200498132,0.164616602,anterior cingulum
9.683686177,0.164684832,anterior cingulum
10.16687422,0.164753061,anterior cingulum
10.65006227,0.16482129,anterior cingulum
11.13325031,0.16488952,anterior cingulum
11.61643836,0.164957749,anterior cingulum
12.0996264,0.165025978,anterior cingulum
